time_s,current_A
0.000000,0.026442
0.000200,0.492288
0.000400,0.467810
0.000600,0.928393
0.000800,1.313658
0.001000,1.345751
0.001200,1.633397
0.001400,1.195614
0.001600,1.155208
0.001800,1.478613
0.002000,1.444670
0.002200,1.250698
0.002400,1.328294
0.002600,1.395882
0.002800,1.202288
0.003000,1.274884
0.003200,1.471082
0.003400,1.633635
0.003600,1.362827
0.003800,1.526605
0.004000,1.516564
0.004200,1.595271
0.004400,1.500803
0.004600,1.389223
0.004800,1.635620
0.005000,1.359111
0.005200,1.404521
0.005400,1.232381
0.005600,1.395063
0.005800,1.609988
0.006000,1.601290
0.006200,1.646225
0.006400,1.620368
0.006600,1.811179
0.006800,1.330445
0.007000,1.137998
0.007200,1.166785
0.007400,1.178553
0.007600,1.122086
0.007800,1.293735
0.008000,1.502697
0.008200,1.594109
0.008400,1.484355
0.008600,1.753193
0.008800,1.359841
0.009000,1.091033
0.009200,1.347262
0.009400,0.695399
0.009600,0.575400
0.009800,0.435436
0.010000,-0.015357
0.010200,-0.386062
0.010400,-0.865769
0.010600,-0.972808
0.010800,-1.038736
0.011000,-1.332916
0.011200,-1.537831
0.011400,-1.619133
0.011600,-1.530147
0.011800,-1.304310
0.012000,-1.263258
0.012200,-1.399762
0.012400,-1.599849
0.012600,-1.221099
0.012800,-1.459024
0.013000,-1.277552
0.013200,-1.556040
0.013400,-1.646207
0.013600,-1.514745
0.013800,-1.202643
0.014000,-1.440845
0.014200,-1.512144
0.014400,-1.448280
0.014600,-1.733773
0.014800,-1.616686
0.015000,-1.816639
0.015200,-1.188854
0.015400,-1.241997
0.015600,-1.443185
0.015800,-1.512310
0.016000,-1.785938
0.016200,-1.589193
0.016400,-1.268862
0.016600,-1.478309
0.016800,-1.527320
0.017000,-1.644622
0.017200,-1.117322
0.017400,-1.294613
0.017600,-1.531745
0.017800,-1.418326
0.018000,-1.506429
0.018200,-1.382922
0.018400,-1.377607
0.018600,-1.507485
0.018800,-1.296740
0.019000,-1.324091
0.019200,-1.029938
0.019400,-1.024767
0.019600,-0.231851
0.019800,-0.442093
0.020000,-0.135499
0.020200,0.203474
0.020400,0.657009
0.020600,0.713258
0.020800,1.233469
0.021000,1.050116
0.021200,1.437548
0.021400,1.229314
0.021600,1.351514
0.021800,1.453841
0.022000,1.660404
0.022200,1.117986
0.022400,1.245687
0.022600,1.175537
0.022800,1.193887
0.023000,1.273665
0.023200,1.566233
0.023400,1.424813
0.023600,1.875118
0.023800,1.618694
0.024000,1.401698
