time_s,current_A
0.000000,0.015236
0.000200,0.010791
0.000400,0.162856
0.000600,0.234410
0.000800,0.151138
0.001000,0.243908
0.001200,0.374517
0.001400,0.409967
0.001600,0.480914
0.001800,0.493175
0.002000,0.631755
0.002200,0.676314
0.002400,0.687849
0.002600,0.785331
0.002800,0.793889
0.003000,0.766052
0.003200,0.862765
0.003400,0.828363
0.003600,0.948750
0.003800,0.927280
0.004000,0.941813
0.004200,0.934537
0.004400,1.043414
0.004600,0.984388
0.004800,0.976610
0.005000,0.982393
0.005200,1.024642
0.005400,1.010387
0.005600,1.002924
0.005800,0.990124
0.006000,1.058139
0.006200,0.909456
0.006400,0.879215
0.006600,0.835618
0.006800,0.875127
0.007000,0.865466
0.007200,0.764816
0.007400,0.686961
0.007600,0.643323
0.007800,0.669954
0.008000,0.624948
0.008200,0.562985
0.008400,0.448478
0.008600,0.437387
0.008800,0.373959
0.009000,0.319951
0.009200,0.292261
0.009400,0.198561
0.009600,0.159279
0.009800,0.066169
0.010000,0.014456
0.010200,-0.031226
0.010400,-0.198191
0.010600,-0.203365
0.010800,-0.272209
0.011000,-0.340961
0.011200,-0.381882
0.011400,-0.351032
0.011600,-0.525045
0.011800,-0.487413
0.012000,-0.671929
0.012200,-0.654168
0.012400,-0.676409
0.012600,-0.699658
0.012800,-0.734952
0.013000,-0.769350
0.013200,-0.861764
0.013400,-0.899424
0.013600,-0.861928
0.013800,-0.939342
0.014000,-1.014841
0.014200,-1.025248
0.014400,-1.028260
0.014600,-0.967257
0.014800,-0.990905
0.015000,-0.965476
0.015200,-1.019389
0.015400,-0.984188
0.015600,-0.951008
0.015800,-0.984050
0.016000,-0.928218
0.016200,-0.962873
0.016400,-0.922980
0.016600,-0.895394
0.016800,-0.904120
0.017000,-0.784668
0.017200,-0.793983
0.017400,-0.728344
0.017600,-0.660510
0.017800,-0.615097
0.018000,-0.554516
0.018200,-0.540751
0.018400,-0.502919
0.018600,-0.429765
0.018800,-0.452491
0.019000,-0.381373
0.019200,-0.314825
0.019400,-0.237244
0.019600,-0.105345
0.019800,-0.108064
0.020000,-0.018908
0.020200,0.127752
0.020400,0.107520
0.020600,0.224257
0.020800,0.202009
0.021000,0.298745
0.021200,0.320623
0.021400,0.408828
0.021600,0.523769
0.021800,0.449461
0.022000,0.609506
0.022200,0.649311
0.022400,0.654840
0.022600,0.656666
0.022800,0.774120
0.023000,0.782542
0.023200,0.855962
0.023400,0.877399
0.023600,0.984916
0.023800,0.917809
0.024000,0.899882
0.024200,0.977547
0.024400,0.993287
0.024600,1.060074
0.024800,1.039782
0.025000,1.017844
0.025200,1.071192
0.025400,0.932677
0.025600,0.950300
0.025800,0.922254
0.026000,0.931566
0.026200,0.860942
0.026400,0.936585
0.026600,0.865196
0.026800,0.770788
0.027000,0.758238
0.027200,0.786189
0.027400,0.770875
0.027600,0.784384
0.027800,0.783117
0.028000,0.608506
0.028200,0.486350
0.028400,0.375151
0.028600,0.439165
0.028800,0.327477
0.029000,0.288249
0.029200,0.218085
0.029400,0.180342
0.029600,0.178632
0.029800,0.070643
0.030000,-0.007932
0.030200,-0.114573
0.030400,-0.209067
0.030600,-0.211697
0.030800,-0.251379
0.031000,-0.220620
0.031200,-0.361611
0.031400,-0.376642
0.031600,-0.506718
0.031800,-0.595074
0.032000,-0.636041
0.032200,-0.673685
0.032400,-0.578124
0.032600,-0.770038
0.032800,-0.728589
0.033000,-0.854163
0.033200,-0.797749
0.033400,-0.857059
0.033600,-0.912659
0.033800,-0.931815
0.034000,-0.983796
0.034200,-0.946280
0.034400,-1.005036
0.034600,-1.053395
0.034800,-1.061924
0.035000,-0.991371
0.035200,-0.919072
0.035400,-0.984115
0.035600,-0.988219
0.035800,-0.954292
0.036000,-0.885756
0.036200,-0.918807
0.036400,-0.925373
0.036600,-0.820992
0.036800,-0.822890
0.037000,-0.732229
0.037200,-0.761352
0.037400,-0.790192
0.037600,-0.752955
0.037800,-0.554878
0.038000,-0.501602
0.038200,-0.544803
0.038400,-0.500913
0.038600,-0.352707
0.038800,-0.423477
0.039000,-0.353753
0.039200,-0.216524
0.039400,-0.207112
0.039600,-0.125589
0.039800,-0.070963
0.040000,0.016879
0.040200,0.133165
0.040400,0.129862
0.040600,0.219578
0.040800,0.146181
0.041000,0.306581
0.041200,0.325963
0.041400,0.364839
0.041600,0.437846
0.041800,0.519121
0.042000,0.633580
0.042200,0.571104
0.042400,0.686079
0.042600,0.704760
0.042800,0.754130
0.043000,0.859155
0.043200,0.871234
0.043400,0.943177
0.043600,0.897102
0.043800,0.894979
0.044000,0.939864
0.044200,0.980708
0.044400,0.991116
0.044600,0.937895
0.044800,1.002551
0.045000,1.011411
0.045200,1.123900
0.045400,1.085957
0.045600,0.939625
0.045800,0.954214
0.046000,0.877884
0.046200,0.900241
0.046400,0.920607
0.046600,0.936599
0.046800,0.807874
0.047000,0.776310
0.047200,0.663149
0.047400,0.720835
0.047600,0.631426
0.047800,0.610952
0.048000,0.543942
0.048200,0.531114
0.048400,0.393867
0.048600,0.352427
0.048800,0.474587
0.049000,0.244646
0.049200,0.193851
0.049400,0.279227
0.049600,0.270587
0.049800,0.004212
0.050000,-0.018412
0.050200,-0.045713
0.050400,-0.038898
0.050600,-0.236724
0.050800,-0.260954
0.051000,-0.270150
0.051200,-0.346386
0.051400,-0.444587
0.051600,-0.488445
0.051800,-0.604572
0.052000,-0.599694
0.052200,-0.650743
0.052400,-0.672939
0.052600,-0.756735
0.052800,-0.746936
0.053000,-0.758381
0.053200,-0.836556
0.053400,-0.858719
0.053600,-0.902169
0.053800,-0.929772
0.054000,-0.987134
0.054200,-0.952758
0.054400,-0.987152
0.054600,-0.887456
0.054800,-0.919359
0.055000,-0.980708
0.055200,-1.036180
0.055400,-1.047735
0.055600,-0.922730
0.055800,-0.955446
0.056000,-0.927049
0.056200,-1.017006
0.056400,-0.858455
0.056600,-0.853586
0.056800,-0.899849
0.057000,-0.832593
0.057200,-0.757327
0.057400,-0.726345
0.057600,-0.699156
0.057800,-0.642598
0.058000,-0.600384
0.058200,-0.528199
0.058400,-0.408179
0.058600,-0.554112
0.058800,-0.379967
0.059000,-0.300191
0.059200,-0.233890
0.059400,-0.205977
0.059600,-0.213169
0.059800,-0.046391
0.060000,0.086368
0.060200,-0.013903
0.060400,0.168525
0.060600,0.170955
0.060800,0.245624
0.061000,0.256372
0.061200,0.351402
0.061400,0.490782
0.061600,0.510886
0.061800,0.622442
0.062000,0.646656
0.062200,0.659378
0.062400,0.771744
0.062600,0.750918
0.062800,0.811913
0.063000,0.794188
0.063200,0.847655
0.063400,0.841435
0.063600,0.954306
0.063800,0.870861
0.064000,0.990174
0.064200,0.959051
0.064400,1.040850
0.064600,1.029658
0.064800,1.089059
0.065000,1.036539
0.065200,0.919425
0.065400,0.988767
0.065600,0.923687
0.065800,0.942669
0.066000,1.026618
0.066200,0.961653
0.066400,0.869881
0.066600,0.825621
0.066800,0.845967
0.067000,0.748189
0.067200,0.736956
0.067400,0.744569
0.067600,0.742313
0.067800,0.667862
0.068000,0.473221
0.068200,0.551045
